,Happiness Rank,Region,Freedom,Happiness Score,Country,Generosity,Family,Trust (Government Corruption),Health (Life Expectancy),Economy (GDP per Capita),Year
30,31,Central and Eastern Europe,0.46364,6.505,Czech Republic,0.10686,1.20643,0.02652,0.84483,1.17898,2015
31,32,Latin America and Caribbean,0.60362,6.485,Uruguay,0.2324,1.2089,0.24558,0.8116,1.06166,2015
32,33,Latin America and Caribbean,0.53466,6.477,Colombia,0.18401,1.24018,0.0512,0.69077,0.91861,2015
33,34,Southeastern Asia,0.55664,6.455,Thailand,0.5763,1.26504,0.03187,0.7385,0.9669,2015
34,35,Middle East and Northern Africa,0.31048,6.411,Saudi Arabia,0.13706,1.08393,0.32524,0.72025,1.39541,2015
35,36,Western Europe,0.45951,6.329,Spain,0.18227,1.31379,0.06398,0.95562,1.23011,2015
36,37,Western Europe,0.60365,6.302,Malta,0.51752,1.30203,0.13586,0.88721,1.2074,2015
37,38,Eastern Asia,0.3974,6.298,Taiwan,0.25376,1.07617,0.08129,0.8753,1.29098,2015
38,39,Middle East and Northern Africa,0.55499,6.295,Kuwait,0.16228,1.16594,0.25609,0.72492,1.55422,2015
39,40,Latin America and Caribbean,0.59657,6.269,Suriname,0.16991,0.972,0.13633,0.6082,0.99534,2015
40,41,Latin America and Caribbean,0.55884,6.168,Trinidad and Tobago,0.31844,1.18354,0.0114,0.61483,1.21183,2015
41,42,Latin America and Caribbean,0.4035,6.13,El Salvador,0.10692,1.02507,0.11776,0.67737,0.76454,2015
42,43,Latin America and Caribbean,0.57733,6.123,Guatemala,0.27489,1.04356,0.09472,0.64425,0.74553,2015
43,44,Central and Eastern Europe,0.65821,6.003,Uzbekistan,0.22837,1.34043,0.30826,0.59772,0.63244,2015
44,45,Central and Eastern Europe,0.31751,5.995,Slovakia,0.16893,1.26999,0.03431,0.78902,1.16891,2015
45,46,Eastern Asia,0.49615,5.987,Japan,0.10705,1.25712,0.1806,0.99111,1.27074,2015
46,47,Eastern Asia,0.33208,5.984,South Korea,0.18557,0.95774,0.07857,0.96538,1.24461,2015
47,48,Latin America and Caribbean,0.48574,5.975,Ecuador,0.11541,0.99903,0.1809,0.79075,0.86402,2015
48,49,Middle East and Northern Africa,0.45492,5.96,Bahrain,0.17362,1.21624,0.306,0.74716,1.32376,2015
49,50,Western Europe,0.26236,5.948,Italy,0.22823,1.19777,0.02901,0.95446,1.25114,2015
50,51,Latin America and Caribbean,0.57414,5.89,Bolivia,0.20536,0.97841,0.088,0.5392,0.68133,2015
51,52,Central and Eastern Europe,0.32818,5.889,Moldova,0.20951,1.01528,0.01615,0.61826,0.59448,2015
52,53,Latin America and Caribbean,0.53899,5.878,Paraguay,0.3424,1.30477,0.08242,0.66098,0.75985,2015
53,54,Central and Eastern Europe,0.51649,5.855,Kazakhstan,0.11827,1.12241,0.08454,0.64368,1.12254,2015
54,55,Central and Eastern Europe,0.60855,5.848,Slovenia,0.25328,1.27385,0.03787,0.87337,1.18498,2015
55,56,Central and Eastern Europe,0.21342,5.833,Lithuania,0.02641,1.25745,0.01031,0.73128,1.14723,2015
56,57,Latin America and Caribbean,0.55475,5.828,Nicaragua,0.27815,1.14184,0.19317,0.74314,0.59325,2015
57,58,Latin America and Caribbean,0.41496,5.824,Peru,0.14982,0.97459,0.05989,0.73017,0.90019,2015
58,59,Central and Eastern Europe,0.37938,5.813,Belarus,0.11046,1.23289,0.1909,0.73608,1.03192,2015
59,60,Central and Eastern Europe,0.53122,5.791,Poland,0.16759,1.27948,0.04212,0.77903,1.12555,2015
60,61,Southeastern Asia,0.53024,5.77,Malaysia,0.33075,1.07023,0.10501,0.72394,1.12486,2015
61,62,Central and Eastern Europe,0.25883,5.759,Croatia,0.05444,0.79624,0.0243,0.78805,1.08254,2015
62,63,Middle East and Northern Africa,0.41668,5.754,Libya,0.18295,1.11862,0.11023,0.7038,1.13145,2015
63,64,Central and Eastern Europe,0.36679,5.716,Russia,0.00199,1.23617,0.03005,0.66926,1.13764,2015
64,65,Latin America and Caribbean,0.50442,5.709,Jamaica,0.2123,1.15102,0.02299,0.68741,0.81038,2015
65,66,Western Europe,0.49027,5.695,North Cyprus,0.26169,1.07008,0.1428,0.92356,1.20806,2015
66,67,Western Europe,0.40672,5.689,Cyprus,0.30638,0.89318,0.06146,0.92356,1.20813,2015
67,68,Middle East and Northern Africa,0.28579,5.605,Algeria,0.07822,1.07772,0.17383,0.61766,0.93929,2015
68,69,Central and Eastern Europe,0.24749,5.589,Kosovo,0.2831,0.81198,0.04741,0.63132,0.80148,2015
69,70,Central and Eastern Europe,0.4761,5.548,Turkmenistan,0.16979,1.22668,0.30844,0.53886,0.95847,2015
70,71,Sub-Saharan Africa,0.56066,5.477,Mauritius,0.37744,0.98521,0.07521,0.7095,1.00761,2015
71,72,Eastern Asia,0.59608,5.474,Hong Kong,0.39478,1.05818,0.37124,1.01328,1.38604,2015
72,73,Central and Eastern Europe,0.44888,5.429,Estonia,0.0868,1.22791,0.15184,0.77361,1.15174,2015
73,74,Southeastern Asia,0.46611,5.399,Indonesia,0.51535,1.08708,0.0,0.63793,0.82827,2015
74,75,Southeastern Asia,0.59444,5.36,Vietnam,0.1686,0.91226,0.10441,0.74676,0.63216,2015
75,76,Middle East and Northern Africa,0.22815,5.332,Turkey,0.12253,0.94632,0.15746,0.73172,1.06098,2015
76,77,Central and Eastern Europe,0.43477,5.286,Kyrgyzstan,0.3003,1.15115,0.04232,0.65088,0.47428,2015
77,78,Sub-Saharan Africa,0.34334,5.268,Nigeria,0.27233,0.90432,0.0403,0.16007,0.65435,2015
78,79,Southern Asia,0.53206,5.253,Bhutan,0.47998,1.10395,0.15445,0.57407,0.77042,2015
79,80,Central and Eastern Europe,0.3703,5.212,Azerbaijan,0.07799,0.93793,0.16065,0.64045,1.02389,2015
80,81,Southern Asia,0.12102,5.194,Pakistan,0.33671,0.41411,0.10464,0.51466,0.59543,2015
81,82,Middle East and Northern Africa,0.40661,5.192,Jordan,0.11053,1.05392,0.14293,0.69639,0.90198,2015
82,82,Central and Eastern Europe,0.1826,5.192,Montenegro,0.1614,0.90557,0.14296,0.72521,0.97438,2015
83,84,Eastern Asia,0.51697,5.14,China,0.08185,0.94675,0.02781,0.81658,0.89012,2015
84,85,Sub-Saharan Africa,0.48827,5.129,Zambia,0.19591,0.91612,0.12468,0.29924,0.47038,2015
85,86,Central and Eastern Europe,0.35068,5.124,Romania,0.13748,0.88588,0.00649,0.7689,1.04345,2015
86,87,Central and Eastern Europe,0.20107,5.123,Serbia,0.19231,1.00964,0.02617,0.74836,0.92053,2015
87,88,Western Europe,0.51469,5.102,Portugal,0.13719,1.13935,0.01078,0.87519,1.15991,2015
88,89,Central and Eastern Europe,0.29671,5.098,Latvia,0.18226,1.09562,0.06332,0.72437,1.11312,2015
89,90,Southeastern Asia,0.62545,5.073,Philippines,0.24991,1.03516,0.12279,0.58114,0.70532,2015
90,91,Sub-Saharan Africa,0.46582,5.057,Somaliland region,0.50318,0.95152,0.39928,0.43873,0.18847,2015
91,92,Middle East and Northern Africa,0.41691,5.013,Morocco,0.07172,0.64095,0.08546,0.60954,0.73479,2015
92,93,Central and Eastern Europe,0.33457,5.007,Macedonia,0.22359,1.00232,0.05327,0.73545,0.91851,2015
93,94,Sub-Saharan Africa,0.34037,4.971,Mozambique,0.22269,1.02626,0.15603,0.09131,0.08308,2015
94,95,Central and Eastern Europe,0.35733,4.959,Albania,0.14272,0.80434,0.06413,0.81325,0.87867,2015
95,96,Central and Eastern Europe,0.09245,4.949,Bosnia and Herzegovina,0.24808,0.91916,0.00227,0.79081,0.83223,2015
96,97,Sub-Saharan Africa,0.31767,4.898,Lesotho,0.16388,1.04103,0.12504,0.07612,0.37545,2015
97,98,Latin America and Caribbean,0.57672,4.885,Dominican Republic,0.21684,1.17202,0.14234,0.66825,0.89537,2015
98,99,Southeastern Asia,0.59591,4.876,Laos,0.42192,0.73803,0.24249,0.54909,0.59066,2015
99,100,Eastern Asia,0.43626,4.874,Mongolia,0.3323,1.3006,0.02666,0.60268,0.82819,2015
100,101,Sub-Saharan Africa,0.30658,4.867,Swaziland,0.18259,1.07284,0.0306,0.07566,0.71206,2015
101,102,Western Europe,0.07699,4.857,Greece,0.0,0.92933,0.01397,0.88213,1.15406,2015
102,103,Middle East and Northern Africa,0.33916,4.839,Lebanon,0.21854,0.80001,0.04582,0.83947,1.02564,2015
103,104,Central and Eastern Europe,0.32112,4.8,Hungary,0.128,1.20215,0.02758,0.75905,1.12094,2015
104,105,Latin America and Caribbean,0.40148,4.788,Honduras,0.23027,0.95348,0.06825,0.6951,0.59532,2015
105,106,Central and Eastern Europe,0.47216,4.786,Tajikistan,0.22974,0.85563,0.15072,0.57379,0.39047,2015
106,107,Middle East and Northern Africa,0.26268,4.739,Tunisia,0.06431,0.60429,0.06358,0.73793,0.88113,2015
107,108,Middle East and Northern Africa,0.24499,4.715,Palestinian Territories,0.11251,0.92558,0.12905,0.66015,0.59867,2015
108,109,Southern Asia,0.4082,4.694,Bangladesh,0.21222,0.43106,0.12569,0.60164,0.39753,2015
109,110,Middle East and Northern Africa,0.30033,4.686,Iran,0.38086,0.54447,0.05863,0.69805,1.0088,2015
110,111,Central and Eastern Europe,0.25123,4.681,Ukraine,0.15275,1.20278,0.02961,0.6739,0.79907,2015
111,112,Middle East and Northern Africa,0.0,4.677,Iraq,0.17922,0.81889,0.13788,0.60237,0.98549,2015
112,113,Sub-Saharan Africa,0.33207,4.642,South Africa,0.11973,1.18468,0.08884,0.27688,0.92049,2015
113,114,Sub-Saharan Africa,0.42342,4.633,Ghana,0.23087,0.67954,0.04355,0.40132,0.54558,2015
114,115,Sub-Saharan Africa,0.25861,4.61,Zimbabwe,0.18987,1.03276,0.08079,0.33475,0.271,2015
115,116,Sub-Saharan Africa,0.28531,4.571,Liberia,0.24362,0.78968,0.06232,0.34201,0.0712,2015
116,117,Southern Asia,0.39786,4.565,India,0.26475,0.38174,0.08492,0.51529,0.64499,2015
117,118,Sub-Saharan Africa,0.10081,4.55,Sudan,0.19062,1.01404,0.1466,0.36878,0.52107,2015
118,119,Latin America and Caribbean,0.24425,4.518,Haiti,0.46187,0.74302,0.17175,0.38847,0.26673,2015
119,120,Sub-Saharan Africa,0.22605,4.517,Congo (Kinshasa),0.24834,1.0012,0.07625,0.09806,0.0,2015
120,121,Southern Asia,0.38282,4.514,Nepal,0.32296,0.86449,0.05907,0.56874,0.35997,2015
121,122,Sub-Saharan Africa,0.4345,4.512,Ethiopia,0.24325,0.60406,0.15048,0.44055,0.19073,2015
122,123,Sub-Saharan Africa,0.4084,4.507,Sierra Leone,0.21488,0.95571,0.08786,0.0,0.33024,2015
123,124,Sub-Saharan Africa,0.24232,4.436,Mauritania,0.219,0.86908,0.17461,0.35874,0.45407,2015
124,125,Sub-Saharan Africa,0.42215,4.419,Kenya,0.37542,0.99876,0.05839,0.41435,0.36471,2015
125,126,Sub-Saharan Africa,0.46074,4.369,Djibouti,0.18093,0.59207,0.28105,0.36291,0.44025,2015
126,127,Central and Eastern Europe,0.19847,4.35,Armenia,0.07855,0.77711,0.039,0.7299,0.76821,2015
127,128,Sub-Saharan Africa,0.49495,4.332,Botswana,0.10461,1.10464,0.12474,0.04776,0.99355,2015
128,129,Southeastern Asia,0.44017,4.307,Myanmar,0.79588,0.70905,0.19034,0.48246,0.27108,2015
129,130,Central and Eastern Europe,0.40577,4.297,Georgia,0.05547,0.38562,0.38331,0.72926,0.7419,2015
130,131,Sub-Saharan Africa,0.43054,4.292,Malawi,0.33128,0.41134,0.06977,0.22562,0.01604,2015
131,132,Southern Asia,0.53726,4.271,Sri Lanka,0.40828,1.01905,0.09179,0.70806,0.83524,2015
132,133,Sub-Saharan Africa,0.49309,4.252,Cameroon,0.20618,0.88767,0.05786,0.23402,0.4225,2015
133,134,Central and Eastern Europe,0.30587,4.218,Bulgaria,0.11921,1.10614,0.00872,0.76649,1.01216,2015
134,135,Middle East and Northern Africa,0.17288,4.194,Egypt,0.11291,0.747,0.06324,0.61712,0.8818,2015
135,136,Middle East and Northern Africa,0.35571,4.077,Yemen,0.09131,0.68093,0.07854,0.40064,0.54649,2015
136,137,Sub-Saharan Africa,0.10384,4.033,Angola,0.12344,0.8604,0.07122,0.16683,0.75778,2015
137,138,Sub-Saharan Africa,0.38857,3.995,Mali,0.18798,1.03526,0.12352,0.20583,0.26074,2015
138,139,Sub-Saharan Africa,0.41466,3.989,Congo (Brazzaville),0.12388,0.6629,0.11686,0.31051,0.67866,2015
139,140,Sub-Saharan Africa,0.22917,3.956,Comoros,0.17441,0.79273,0.199,0.36315,0.23906,2015
140,141,Sub-Saharan Africa,0.45727,3.931,Uganda,0.29066,1.13299,0.07267,0.33861,0.21102,2015
141,142,Sub-Saharan Africa,0.36772,3.904,Senegal,0.20843,0.97619,0.10713,0.4354,0.36498,2015
142,143,Sub-Saharan Africa,0.31914,3.896,Gabon,0.06822,0.90528,0.11091,0.43372,1.06024,2015
143,144,Sub-Saharan Africa,0.47692,3.845,Niger,0.19387,0.77265,0.15639,0.29707,0.0694,2015
144,145,Southeastern Asia,0.66246,3.819,Cambodia,0.40359,0.62736,0.07247,0.61114,0.46038,2015
145,146,Sub-Saharan Africa,0.32878,3.781,Tanzania,0.34377,1.00268,0.05747,0.38215,0.2852,2015
146,147,Sub-Saharan Africa,0.19184,3.681,Madagascar,0.21333,0.66801,0.08124,0.46721,0.20824,2015
147,148,Sub-Saharan Africa,0.48879,3.678,Central African Republic,0.23835,0.0,0.08289,0.06699,0.0785,2015
148,149,Sub-Saharan Africa,0.23501,3.667,Chad,0.18386,0.76062,0.05269,0.1501,0.34193,2015
149,150,Sub-Saharan Africa,0.37725,3.656,Guinea,0.28657,0.46475,0.12139,0.24009,0.17417,2015
150,151,Sub-Saharan Africa,0.46866,3.655,Ivory Coast,0.20165,0.77115,0.17922,0.15185,0.46534,2015
151,152,Sub-Saharan Africa,0.39493,3.587,Burkina Faso,0.21747,0.85188,0.12832,0.27125,0.25812,2015
152,153,Southern Asia,0.23414,3.575,Afghanistan,0.3651,0.30285,0.09719,0.30335,0.31982,2015
153,154,Sub-Saharan Africa,0.59201,3.465,Rwanda,0.22628,0.7737,0.55191,0.42864,0.22208,2015
154,155,Sub-Saharan Africa,0.4845,3.34,Benin,0.1826,0.35386,0.0801,0.3191,0.28665,2015
155,156,Middle East and Northern Africa,0.15684,3.006,Syria,0.47179,0.47489,0.18906,0.72193,0.6632,2015
156,157,Sub-Saharan Africa,0.1185,2.905,Burundi,0.19727,0.41587,0.10062,0.22396,0.0153,2015
157,158,Sub-Saharan Africa,0.36453,2.839,Togo,0.16681,0.13995,0.10731,0.28443,0.20868,2015
158,1,Western Europe,0.57941,7.526,Denmark,0.36171,1.16374,0.44453,0.79504,1.44178,2016
159,2,Western Europe,0.58557,7.509,Switzerland,0.28083,1.14524,0.41203,0.86303,1.52733,2016
160,3,Western Europe,0.56624,7.501,Iceland,0.47678,1.18326,0.14975,0.86733,1.42666,2016
161,4,Western Europe,0.59609,7.498,Norway,0.37895,1.1269,0.35776,0.79579,1.57744,2016
162,5,Western Europe,0.57104,7.413,Finland,0.25492,1.13464,0.41004,0.81091,1.40598,2016
163,6,North America,0.5737,7.404,Canada,0.44834,1.0961,0.31329,0.8276,1.44015,2016
164,7,Western Europe,0.55211,7.339,Netherlands,0.47416,1.02912,0.29927,0.81231,1.46468,2016
165,8,Australia and New Zealand,0.58147,7.334,New Zealand,0.49401,1.17278,0.41904,0.83096,1.36066,2016
166,9,Australia and New Zealand,0.56837,7.313,Australia,0.47407,1.10476,0.32331,0.8512,1.44443,2016
167,10,Western Europe,0.58218,7.291,Sweden,0.38254,1.08764,0.40867,0.83121,1.45181,2016
168,11,Middle East and Northern Africa,0.36432,7.267,Israel,0.32288,0.99537,0.08728,0.84917,1.33766,2016
169,12,Western Europe,0.54355,7.119,Austria,0.32865,1.08383,0.21348,0.80565,1.45038,2016
170,13,North America,0.48163,7.104,United States,0.41077,1.04782,0.14868,0.779,1.50796,2016
171,14,Latin America and Caribbean,0.55225,7.087,Costa Rica,0.22553,1.02152,0.10547,0.76146,1.06879,2016
172,15,Latin America and Caribbean,0.46823,7.039,Puerto Rico,0.22202,1.08113,0.12275,0.77758,1.35943,2016
173,16,Western Europe,0.53466,6.994,Germany,0.30452,1.09774,0.28551,0.81487,1.44787,2016
174,17,Latin America and Caribbean,0.40425,6.952,Brazil,0.15776,1.03938,0.14166,0.61415,1.08754,2016
175,18,Western Europe,0.51354,6.929,Belgium,0.2424,1.05249,0.26248,0.81959,1.42539,2016
176,19,Western Europe,0.54008,6.907,Ireland,0.44963,1.16157,0.29754,0.81455,1.48341,2016
177,20,Western Europe,0.5487,6.871,Luxembourg,0.27571,1.03999,0.35329,0.84542,1.69752,2016
178,21,Latin America and Caribbean,0.37709,6.778,Mexico,0.11735,0.7146,0.18355,0.71143,1.11508,2016
179,22,Southeastern Asia,0.4877,6.739,Singapore,0.32706,0.86758,0.46987,0.94719,1.64555,2016
180,23,Western Europe,0.50036,6.725,United Kingdom,0.50156,1.08672,0.27399,0.80991,1.40283,2016
181,24,Latin America and Caribbean,0.37789,6.705,Chile,0.31595,0.90587,0.11451,0.81883,1.2167,2016
182,25,Latin America and Caribbean,0.48927,6.701,Panama,0.2418,0.98912,0.08423,0.70835,1.18306,2016
183,26,Latin America and Caribbean,0.42284,6.65,Argentina,0.10989,1.06612,0.07296,0.69711,1.15137,2016
184,27,Central and Eastern Europe,0.41418,6.596,Czech Republic,0.09929,1.00793,0.03986,0.76376,1.30915,2016
185,28,Middle East and Northern Africa,0.56215,6.573,United Arab Emirates,0.26591,0.87114,0.35561,0.72993,1.57352,2016
186,29,Latin America and Caribbean,0.54388,6.545,Uruguay,0.18056,1.03143,0.21394,0.72183,1.18157,2016
187,30,Western Europe,0.54994,6.488,Malta,0.56237,1.09879,0.17554,0.80315,1.30782,2016
188,31,Latin America and Caribbean,0.44735,6.481,Colombia,0.15626,1.02169,0.05399,0.59659,1.03032,2016
189,32,Western Europe,0.46562,6.478,France,0.1216,1.00508,0.17808,0.83795,1.39488,2016
190,33,Southeastern Asia,0.49553,6.474,Thailand,0.58696,1.04477,0.02833,0.64915,1.0893,2016
191,34,Middle East and Northern Africa,0.37904,6.379,Saudi Arabia,0.15457,0.84829,0.30008,0.59267,1.48953,2016
192,34,Eastern Asia,0.32377,6.379,Taiwan,0.25495,0.92624,0.0663,0.79565,1.39729,2016
193,36,Middle East and Northern Africa,0.56679,6.375,Qatar,0.32388,0.87964,0.48049,0.71723,1.82427,2016
194,37,Western Europe,0.37545,6.361,Spain,0.17665,1.12945,0.06137,0.87896,1.34253,2016
195,38,Middle East and Northern Africa,0.21006,6.355,Algeria,0.07044,0.83309,0.16157,0.61804,1.05266,2016
196,39,Latin America and Caribbean,0.50379,6.324,Guatemala,0.28808,0.87119,0.08701,0.54039,0.83454,2016
197,40,Latin America and Caribbean,0.52234,6.269,Suriname,0.16665,0.77866,0.12692,0.50933,1.09686,2016
198,41,Middle East and Northern Africa,0.43166,6.239,Kuwait,0.15965,0.87758,0.23669,0.63569,1.61714,2016
199,42,Middle East and Northern Africa,0.47375,6.218,Bahrain,0.17147,0.94397,0.25772,0.65696,1.44024,2016
200,43,Latin America and Caribbean,0.48453,6.168,Trinidad and Tobago,0.31935,0.98569,0.01241,0.52608,1.32572,2016
201,44,Latin America and Caribbean,0.19847,6.084,Venezuela,0.0425,1.03302,0.08304,0.61904,1.13367,2016
202,45,Central and Eastern Europe,0.23391,6.078,Slovakia,0.13837,1.08268,0.02947,0.70367,1.27973,2016
203,46,Latin America and Caribbean,0.37269,6.068,El Salvador,0.08877,0.80975,0.10613,0.596,0.8737,2016
204,47,Southeastern Asia,0.39031,6.005,Malaysia,0.41474,0.88025,0.09081,0.62366,1.25142,2016
205,48,Latin America and Caribbean,0.46582,5.992,Nicaragua,0.29773,0.89521,0.16292,0.65213,0.69384,2016
206,49,Central and Eastern Europe,0.60848,5.987,Uzbekistan,0.34326,1.1681,0.28333,0.50163,0.73591,2016
207,50,Western Europe,0.18827,5.977,Italy,0.16684,1.04167,0.02556,0.85102,1.35495,2016
208,51,Latin America and Caribbean,0.4027,5.976,Ecuador,0.10074,0.85974,0.18037,0.68613,0.97306,2016
209,52,Latin America and Caribbean,0.51231,5.956,Belize,0.23684,0.68655,0.10771,0.45569,0.87616,2016
210,53,Eastern Asia,0.46761,5.921,Japan,0.10224,1.06054,0.18985,0.91491,1.38007,2016
211,54,Central and Eastern Europe,0.4052,5.919,Kazakhstan,0.15011,0.95544,0.11132,0.57386,1.22943,2016
212,55,Central and Eastern Europe,0.25202,5.897,Moldova,0.19997,0.83132,0.01903,0.52309,0.69177,2016
213,56,Central and Eastern Europe,0.32682,5.856,Russia,0.02736,1.05261,0.03586,0.58991,1.23228,2016
214,57,Central and Eastern Europe,0.4519,5.835,Poland,0.14443,1.04685,0.055,0.69058,1.24585,2016
215,57,Eastern Asia,0.25168,5.835,South Korea,0.18824,0.72194,0.07716,0.88645,1.35948,2016
216,59,Latin America and Caribbean,0.50961,5.822,Bolivia,0.21698,0.83779,0.07746,0.4697,0.79422,2016
217,60,Central and Eastern Europe,0.18929,5.813,Lithuania,0.02025,1.06411,0.0182,0.64674,1.2692,2016
218,61,Central and Eastern Europe,0.29091,5.802,Belarus,0.13942,1.04993,0.17457,0.63104,1.13062,2016
219,62,Western Europe,0.43596,5.771,North Cyprus,0.26322,0.81826,0.16578,0.84142,1.31141,2016
220,63,Central and Eastern Europe,0.53164,5.768,Slovenia,0.25738,1.05613,0.03635,0.79151,1.29947,2016
221,64,Latin America and Caribbean,0.37502,5.743,Peru,0.14527,0.81255,0.05292,0.62994,0.99602,2016
222,65,Central and Eastern Europe,0.37408,5.658,Turkmenistan,0.22567,1.03817,0.28467,0.44006,1.08017,2016
223,66,Sub-Saharan Africa,0.46145,5.648,Mauritius,0.36951,0.75695,0.05203,0.66189,1.14372,2016
224,67,Middle East and Northern Africa,0.40672,5.615,Libya,0.17087,0.95076,0.10339,0.52304,1.06688,2016
225,68,Central and Eastern Europe,0.27996,5.56,Latvia,0.17445,0.95025,0.0889,0.63952,1.21788,2016
226,69,Western Europe,0.29507,5.546,Cyprus,0.27906,0.70697,0.05228,0.8488,1.31857,2016
227,70,Latin America and Caribbean,0.46235,5.538,Paraguay,0.25296,1.11111,0.07396,0.58295,0.89373,2016
228,71,Central and Eastern Europe,0.36712,5.528,Romania,0.12889,0.72803,0.00679,0.67602,1.1697,2016
229,72,Central and Eastern Europe,0.41511,5.517,Estonia,0.08423,1.05163,0.18519,0.68098,1.27964,2016
230,73,Latin America and Caribbean,0.43597,5.51,Jamaica,0.22245,0.96372,0.04294,0.59469,0.89333,2016
231,74,Central and Eastern Europe,0.23907,5.488,Croatia,0.18434,0.60809,0.04002,0.70524,1.18649,2016
232,75,Eastern Asia,0.48079,5.458,Hong Kong,0.40097,0.87021,0.31647,0.95277,1.5107,2016
233,76,Sub-Saharan Africa,0.56778,5.44,Somalia,0.27225,0.33613,0.3118,0.11466,0.0,2016
234,77,Central and Eastern Europe,0.14396,5.401,Kosovo,0.27992,0.66062,0.06547,0.54,0.90145,2016
235,78,Middle East and Northern Africa,0.23889,5.389,Turkey,0.04707,0.87717,0.12348,0.64718,1.16492,2016
236,79,Southeastern Asia,0.39237,5.314,Indonesia,0.56521,0.87625,0.00322,0.49374,0.95104,2016
237,80,Middle East and Northern Africa,0.36023,5.303,Jordan,0.14262,0.86216,0.13297,0.60712,0.99673,2016
238,81,Central and Eastern Europe,0.35327,5.291,Azerbaijan,0.0564,0.76042,0.17914,0.54504,1.12373,2016
239,82,Southeastern Asia,0.54854,5.279,Philippines,0.21674,0.87877,0.11757,0.47036,0.81217,2016
240,83,Eastern Asia,0.44012,5.245,China,0.04959,0.79381,0.02745,0.73561,1.0278,2016
241,84,Southern Asia,0.46074,5.196,Bhutan,0.48546,0.90836,0.1616,0.49759,0.8527,2016
242,85,Central and Eastern Europe,0.40212,5.185,Kyrgyzstan,0.38432,0.95434,0.04762,0.55449,0.56044,2016
243,86,Central and Eastern Europe,0.15718,5.177,Serbia,0.20737,0.81329,0.04339,0.6458,1.03437,2016
244,87,Central and Eastern Europe,0.09511,5.163,Bosnia and Herzegovina,0.29889,0.64367,0.0,0.70766,0.93383,2016
